fixture,preset,cq,speed,cpu_mb,nvenc_mb,size_ratio,cpu_vmaf,nvenc_vmaf,vmaf_delta,cpu_seconds,nvenc_seconds,speedup
ocean,Everyday,24,p6,5.806,9.754,1.68,94.547,93.656,-0.891,5.277,1.794,2.941
ocean,Streaming,23,p6,6.472,10.712,1.655,95.453,94.424,-1.029,5.278,1.703,3.099
ocean,Editing,20,p6,8.086,12.506,1.547,96.962,95.266,-1.696,5.272,1.721,3.063
ocean,Sharing,27,p6,4.459,6.909,1.55,90.475,89.671,-0.804,4.901,1.721,2.848
ocean,CTV,,p6,4.872,7.727,1.586,91.763,89.909,-1.854,5.114,1.734,2.949
static,Everyday,24,p6,0.058,0.063,1.082,97.29,97.369,0.079,0.885,1.199,0.738
static,Streaming,23,p6,0.075,0.101,1.345,97.347,97.396,0.049,0.972,1.197,0.812
static,Editing,20,p6,0.13,0.155,1.198,97.357,97.418,0.061,0.865,1.195,0.724
static,Sharing,27,p6,0.05,0.071,1.415,97.0,97.197,0.197,0.922,1.142,0.807
static,CTV,,p6,1.823,3.272,1.795,97.419,97.416,-0.003,0.972,1.165,0.834
motion60,Everyday,24,p6,4.257,6.842,1.607,95.857,97.683,1.826,1.802,1.25,1.442
motion60,Streaming,23,p6,4.357,5.785,1.328,95.888,97.116,1.228,1.843,1.275,1.445
motion60,Editing,20,p6,5.791,9.755,1.684,97.071,98.376,1.305,1.698,1.266,1.341
motion60,Sharing,27,p6,2.361,5.388,2.282,93.266,96.88,3.614,1.657,1.306,1.269
motion60,CTV,,p6,4.205,3.926,0.934,95.703,95.631,-0.072,1.747,1.297,1.347
grain,Everyday,24,p6,10.454,3.434,0.328,98.737,99.236,0.499,3.865,1.078,3.585
grain,Streaming,23,p6,4.304,4.327,1.005,97.618,99.494,1.876,3.013,1.242,2.426
grain,Editing,20,p6,29.261,7.045,0.241,99.361,99.66,0.299,5.284,1.309,4.037
grain,Sharing,27,p6,2.107,2.303,1.093,96.593,98.448,1.855,2.266,1.232,1.839
grain,CTV,,p6,4.054,3.928,0.969,97.569,99.447,1.878,3.178,1.211,2.624
